Entity,Code,Year,Renewables (% growth)
Indonesia,IDN,2000,3.9655685424804688
Indonesia,IDN,2001,18.814659118652344
Indonesia,IDN,2002,-4.750204086303711
Indonesia,IDN,2003,-3.8427889347076416
Indonesia,IDN,2004,5.808126926422119
Indonesia,IDN,2005,7.122683525085449
Indonesia,IDN,2006,-6.2943220138549805
Indonesia,IDN,2007,13.40641975402832
Indonesia,IDN,2008,7.840776443481445
Indonesia,IDN,2009,8.623290061950684
Indonesia,IDN,2010,30.529010772705078
Indonesia,IDN,2011,-12.40224838256836
Indonesia,IDN,2012,12.967514991760254
Indonesia,IDN,2013,24.53312873840332
Indonesia,IDN,2014,16.747034072875977
Indonesia,IDN,2015,-21.827434539794922
Indonesia,IDN,2016,73.62660217285156
Indonesia,IDN,2017,-3.292745351791382
Indonesia,IDN,2018,48.02655029296875
Indonesia,IDN,2019,28.676021575927734
Indonesia,IDN,2020,21.52705192565918
Indonesia,IDN,2021,8.813714981079102
Iran,IRN,1966,7.455015182495117
Iran,IRN,1967,7.655501365661621
Iran,IRN,1968,7.555568218231201
Iran,IRN,1969,7.64462947845459
Iran,IRN,1970,7.6775431632995605
Iran,IRN,1971,7.486629486083984
Iran,IRN,1972,31.343280792236328
Iran,IRN,1973,-15.277778625488281
Iran,IRN,1974,10.134124755859375
Iran,IRN,1975,5.006766319274902
Iran,IRN,1976,11.855673789978027
Iran,IRN,1977,3.3410072326660156
Iran,IRN,1978,56.63323211669922
Iran,IRN,1979,-13.309610366821289
Iran,IRN,1980,3.694581985473633
Iran,IRN,1981,9.184479713439941
Iran,IRN,1982,4.9311041831970215
Iran,IRN,1983,-2.1423637866973877
Iran,IRN,1984,-6.497174263000488
Iran,IRN,1985,0.8154511451721191
Iran,IRN,1986,19.511783599853516
Iran,IRN,1987,10.86524772644043
Iran,IRN,1988,5.50154447555542
Iran,IRN,1989,-18.360424041748047
Iran,IRN,1990,9.64052677154541
Iran,IRN,1991,-24.034685134887695
Iran,IRN,1992,64.15196990966797
Iran,IRN,1993,14.43936824798584
Iran,IRN,1994,-34.529571533203125
Iran,IRN,1995,20.693159103393555
Iran,IRN,1996,5.899322032928467
Iran,IRN,1997,-32.59587097167969
Iran,IRN,1998,26.039386749267578
Iran,IRN,1999,-30.849361419677734
Iran,IRN,2000,-26.274627685546875
Iran,IRN,2001,8.85920524597168
Iran,IRN,2002,93.52455139160156
Iran,IRN,2003,19.562816619873047
Iran,IRN,2004,24.581920623779297
Iran,IRN,2005,21.199905395507812
Iran,IRN,2006,28.34581184387207
Iran,IRN,2007,-2.8678178787231445
Iran,IRN,2008,-57.823204040527344
Iran,IRN,2009,-8.944195747375488
Iran,IRN,2010,50.07334899902344
Iran,IRN,2011,4.666471481323242
Iran,IRN,2012,17.306089401245117
Iran,IRN,2013,16.041946411132812
Iran,IRN,2014,-0.7515311241149902
Iran,IRN,2015,-9.087335586547852
Iran,IRN,2016,16.359949111938477
Iran,IRN,2017,13.171887397766113
Iran,IRN,2018,-38.6517333984375
Iran,IRN,2019,224.04771423339844
Iran,IRN,2020,-28.854888916015625
Iran,IRN,2021,-33.15489959716797
Iraq,IRQ,1966,31.25
Iraq,IRQ,1967,14.28571891784668
